movie_production_year,movie_financial_summary_production_budget,movie_financial_summary_domestic_box_office,movie_financial_summary_international_box_office,production_date_year,movie_creative_type_display_name,movie_source_display_name,movie_production_method_display_name,movie_genre_display_name
2015,13000000,656688,17200000,1/1/2015,Contemporary Fiction,Remake,Live Action,Action
2010,13000000,73013910,26020215,1/1/2010,Factual,Based on Real Life Events,Live Action,Concert/Performance
2013,13000000,38934842,3239703,1/1/2013,Kids Fiction,Original Screenplay,Animation/Live Action,Adventure
2013,13000000,25682380,16513386,1/1/2013,Contemporary Fiction,Original Screenplay,Live Action,Comedy
2007,13000000,11003643,137570,1/1/2007,Contemporary Fiction,Original Screenplay,Live Action,Drama
2010,13000000,106954678,224312032,1/1/2010,Contemporary Fiction,Original Screenplay,Live Action,Thriller/Suspense
2001,13000000,91038276,31206053,1/1/2001,Contemporary Fiction,Original Screenplay,Live Action,Drama
2006,13000000,1151330,1462387,1/1/2006,Dramatization,Based on Fiction Book/Short Story,Live Action,Drama
2010,13000000,2037459,20976568,1/1/2010,Contemporary Fiction,Based on Real Life Events,Live Action,Comedy
2011,13000000,1024175,5435008,1/1/2011,Fantasy,Original Screenplay,Live Action,Action
2012,13000000,18007317,726349,1/1/2012,Contemporary Fiction,Original Screenplay,Live Action,Romantic Comedy
2014,13000000,44137712,10699522,1/1/2014,Contemporary Fiction,Original Screenplay,Live Action,Comedy
2016,13000000,59792364,8460993,1/1/2016,Dramatization,Based on Factual Book/Article,Live Action,Drama
2015,13000000,14677674,21307731,1/1/2015,Contemporary Fiction,Based on Fiction Book/Short Story,Live Action,Drama
2015,13000000,1784763,11201426,1/1/2015,Fantasy,Original Screenplay,Live Action,Horror
2010,13000000,3075255,8755876,1/1/2010,Contemporary Fiction,Original Screenplay,Live Action,Thriller/Suspense
2001,13000000,16929123,3000000,1/1/2001,Contemporary Fiction,Original Screenplay,Live Action,Drama
2014,13000000,48637684,1808176,1/1/2014,Contemporary Fiction,Based on Play,Live Action,Romantic Comedy
2010,13000000,17742948,15326355,1/1/2010,Contemporary Fiction,Based on Fiction Book/Short Story,Live Action,Drama
2015,13000000,25440971,11624916,1/1/2015,Science Fiction,Original Screenplay,Live Action,Thriller/Suspense
2007,13000000,3172382,88173,1/1/2007,Contemporary Fiction,Original Screenplay,Live Action,Drama
2007,13000000,49121934,611611,1/1/2007,Contemporary Fiction,Original Screenplay,Live Action,Drama
2009,13000000,2087720,17822904,1/1/2009,Contemporary Fiction,Original Screenplay,Live Action,Drama
2013,13200000,52543632,1779578,1/1/2013,Contemporary Fiction,Original Screenplay,Live Action,Thriller/Suspense
2004,13300000,2086345,37600000,1/1/2004,Dramatization,Based on Real Life Events,Live Action,Drama
2013,13300000,2605039,4615682,1/1/2013,Science Fiction,Based on Fiction Book/Short Story,Live Action,Thriller/Suspense
2002,13500000,15901849,13126065,1/1/2002,Historical Fiction,Original Screenplay,Live Action,Drama
2005,13500000,5501940,88129804,1/1/2005,Dramatization,Based on Real Life Events,Live Action,Drama
2001,13500000,687081,205425,1/1/2001,Contemporary Fiction,Based on Fiction Book/Short Story,Live Action,Drama
2012,13500000,15024049,18011687,1/1/2012,Contemporary Fiction,Original Screenplay,Live Action,Comedy
2005,13900000,83043761,93968412,1/1/2005,Historical Fiction,Based on Fiction Book/Short Story,Live Action,Drama
2009,14000000,403952,1500000,1/1/2009,Contemporary Fiction,Based on Fiction Book/Short Story,Live Action,Thriller/Suspense
2006,14000000,5463019,8658158,1/1/2006,Contemporary Fiction,Based on Fiction Book/Short Story,Live Action,Drama
2006,14000000,4299773,1482425,1/1/2006,Dramatization,Based on Real Life Events,Live Action,Thriller/Suspense
2007,14000000,5990075,16764397,1/1/2007,Dramatization,Based on Fiction Book/Short Story,Live Action,Drama
2002,14000000,25571351,37428,1/1/2002,Kids Fiction,Based on Religious Text,Digital Animation,Adventure
2007,14000000,12550605,645640,1/1/2007,Contemporary Fiction,Remake,Live Action,Romantic Comedy
2011,14000000,29959436,85632668,1/1/2011,Dramatization,Based on Real Life Events,Live Action,Drama
2001,14000000,3100650,1187596,1/1/2001,Contemporary Fiction,Original Screenplay,Live Action,Horror
2012,14000000,9409538,1757077,1/1/2012,Contemporary Fiction,Original Screenplay,Live Action,Comedy
2007,14000000,61356221,14169497,1/1/2007,Contemporary Fiction,Original Screenplay,Live Action,Drama
2013,14000000,12314651,137950,1/1/2013,Science Fiction,Original Screenplay,Live Action,Comedy
2009,14000000,51545952,51290050,1/1/2009,Contemporary Fiction,Remake,Live Action,Horror
2011,14000000,49130588,33794476,1/1/2011,Fantasy,Original Screenplay,Live Action,Horror
2009,14000000,2656784,17880957,1/1/2009,Contemporary Fiction,Based on Play,Live Action,Romantic Comedy
2011,14000000,35025791,553386,1/1/2011,Contemporary Fiction,Original Screenplay,Live Action,Drama
2002,14000000,25482931,390214,1/1/2002,Contemporary Fiction,Original Screenplay,Live Action,Comedy
2008,14000000,141319928,243199737,1/1/2008,Contemporary Fiction,Original Screenplay,Live Action,Drama
2009,14000000,15515460,7300000,1/1/2009,Contemporary Fiction,Original Screenplay,Live Action,Thriller/Suspense
2006,14000000,16298046,14145231,1/1/2006,Historical Fiction,Based on Fiction Book/Short Story,Live Action,Horror
