movie_production_year,movie_financial_summary_production_budget,movie_financial_summary_domestic_box_office,movie_financial_summary_international_box_office,production_date_year,movie_creative_type_display_name,movie_source_display_name,movie_production_method_display_name,movie_genre_display_name
2010,21000000,37729698,288175,1/1/2010,Contemporary Fiction,Based on Play,Live Action,Drama
2010,21000000,970816,4075222,1/1/2010,Contemporary Fiction,Original Screenplay,Live Action,Comedy
2010,21000000,42739347,6237886,1/1/2010,Contemporary Fiction,Remake,Live Action,Comedy
2011,21000000,24149393,57303418,1/1/2011,Historical Fiction,Based on Fiction Book/Short Story,Live Action,Thriller/Suspense
2001,21000000,40222729,3505831,1/1/2001,Contemporary Fiction,Based on Fiction Book/Short Story,Live Action,Drama
2002,21000000,25296447,18632485,1/1/2002,Contemporary Fiction,Original Screenplay,Live Action,Action
2012,21500000,16684352,57679425,1/1/2012,Contemporary Fiction,Original Screenplay,Live Action,Romantic Comedy
2007,21500000,49033882,43953769,1/1/2007,Contemporary Fiction,Original Screenplay,Live Action,Drama
2001,22000000,30059386,3703014,1/1/2001,Contemporary Fiction,Spin-Off,Live Action,Comedy
2001,22000000,17951431,4910354,1/1/2001,Contemporary Fiction,Original Screenplay,Live Action,Thriller/Suspense
2012,22000000,13749300,3467655,1/1/2012,Contemporary Fiction,Original Screenplay,Live Action,Comedy
2005,22000000,22264487,22873310,1/1/2005,Contemporary Fiction,Original Screenplay,Live Action,Comedy
2001,22000000,40270895,52271523,1/1/2001,Contemporary Fiction,Original Screenplay,Live Action,Drama
2013,22000000,30659817,39877053,1/1/2013,Contemporary Fiction,Remake,Live Action,Comedy
2008,22000000,23530831,4351395,1/1/2008,Contemporary Fiction,Original Screenplay,Live Action,Thriller/Suspense
2015,22000000,30080225,32738712,1/1/2015,Historical Fiction,Original Screenplay,Live Action,Comedy
2013,22000000,20158492,31536870,1/1/2013,Contemporary Fiction,Based on Fiction Book/Short Story,Live Action,Action
2010,22000000,1810078,2254942,1/1/2010,Contemporary Fiction,Original Screenplay,Live Action,Drama
2001,22000000,19351569,6521573,1/1/2001,Contemporary Fiction,Original Screenplay,Live Action,Comedy
2009,22000000,33316821,8454347,1/1/2009,Contemporary Fiction,Based on Factual Book/Article,Live Action,Thriller/Suspense
2008,22000000,20668843,4375214,1/1/2008,Contemporary Fiction,Remake,Live Action,Comedy
2013,22000000,3242457,16321122,1/1/2013,Contemporary Fiction,Based on Fiction Book/Short Story,Live Action,Thriller/Suspense
2005,22000000,36020063,21500000,1/1/2005,Contemporary Fiction,Based on Fiction Book/Short Story,Live Action,Action
2013,22000000,11330849,4103526,1/1/2013,Contemporary Fiction,Original Screenplay,Live Action,Drama
2002,22000000,75600072,4891444,1/1/2002,Contemporary Fiction,Original Screenplay,Live Action,Drama
2012,22000000,49008662,28221033,1/1/2012,Kids Fiction,Based on Fiction Book/Short Story,Live Action,Comedy
2007,22000000,4398532,22839822,1/1/2007,Historical Fiction,Based on Real Life Events,Live Action,Thriller/Suspense
2015,22000000,16029670,53668825,1/1/2015,Contemporary Fiction,Original Screenplay,Live Action,Action
2014,22000000,54235441,40035047,1/1/2014,Contemporary Fiction,Based on Fiction Book/Short Story,Live Action,Romantic Comedy
2007,22000000,90648202,55942785,1/1/2007,Contemporary Fiction,Original Screenplay,Live Action,Comedy
2006,22000000,1054361,22079714,1/1/2006,Dramatization,Based on Real Life Events,Live Action,Drama
2008,22000000,19528602,11484747,1/1/2008,Kids Fiction,Original Screenplay,Digital Animation,Comedy
2004,22000000,12784713,7250000,1/1/2004,Contemporary Fiction,Original Screenplay,Live Action,Comedy
2005,22000000,4835065,4613558,1/1/2005,Historical Fiction,Based on Play,Live Action,Drama
2013,22000000,59700064,11249729,1/1/2013,Dramatization,Based on Religious Text,Live Action,Drama
2003,22000000,51970690,43737767,1/1/2003,Contemporary Fiction,Original Screenplay,Live Action,Action
2014,22500000,4200117,26664532,1/1/2014,Historical Fiction,Original Screenplay,Live Action,Drama
2007,22500000,71975611,59277742,1/1/2007,Contemporary Fiction,Based on Fiction Book/Short Story,Live Action,Horror
2011,23000000,18942396,17432304,1/1/2011,Contemporary Fiction,Original Screenplay,Live Action,Thriller/Suspense
2001,23000000,27338033,11346873,1/1/2001,Contemporary Fiction,Based on Fiction Book/Short Story,Live Action,Romantic Comedy
2008,23000000,10452,4662925,1/1/2008,Contemporary Fiction,Original Screenplay,Live Action,Horror
2013,23000000,36686,13556787,1/1/2013,Contemporary Fiction,Original Screenplay,Live Action,Thriller/Suspense
2008,23000000,11511323,267073,1/1/2008,Dramatization,Based on Real Life Events,Live Action,Drama
2013,23000000,25568251,23214839,1/1/2013,Science Fiction,Original Screenplay,Live Action,Drama
2004,23000000,12189514,102461,1/1/2004,Contemporary Fiction,Original Screenplay,Live Action,Romantic Comedy
2007,23000000,6777741,17711409,1/1/2007,Dramatization,Based on Real Life Events,Live Action,Drama
2004,23000000,16123851,3000000,1/1/2004,Historical Fiction,Based on Fiction Book/Short Story,Live Action,Drama
2015,23000000,15736287,24648239,1/1/2015,Dramatization,Based on Real Life Events,Live Action,Drama
2009,23000000,6113834,44700000,1/1/2009,Dramatization,Based on Real Life Events,Live Action,Drama
2011,23000000,40962534,36773391,1/1/2011,Contemporary Fiction,Based on Play,Live Action,Drama
2009,23600000,75590286,26646310,1/1/2009,Fantasy,Original Screenplay,Live Action,Comedy
2009,24000000,32428195,34920023,1/1/2009,Contemporary Fiction,Based on Fiction Book/Short Story,Live Action,Black Comedy
2004,24000000,6144806,2148108,1/1/2004,Dramatization,Based on Real Life Events,Live Action,Drama
2008,24000000,31457946,5398360,1/1/2008,Contemporary Fiction,Original Screenplay,Live Action,Comedy
2014,24000000,65028687,4999246,1/1/2014,Contemporary Fiction,Based on Factual Book/Article,Live Action,Romantic Comedy
2011,24000000,9659074,14815389,1/1/2011,Contemporary Fiction,Based on Fiction Book/Short Story,Live Action,Comedy
2009,24000000,23240020,12552925,1/1/2009,Contemporary Fiction,Original Screenplay,Live Action,Action
2005,24000000,4710455,233103872,1/1/2005,Kids Fiction,Based on Fiction Book/Short Story,Hand Animation,Adventure
2003,24000000,75155000,11610463,1/1/2003,Contemporary Fiction,Original Screenplay,Live Action,Comedy
2010,24000000,51802742,11187092,1/1/2010,Contemporary Fiction,Remake,Live Action,Musical
2010,24000000,25003155,58657005,1/1/2010,Science Fiction,Remake,Live Action,Horror
2012,24200000,17000,10430579,1/1/2012,Historical Fiction,Based on Fiction Book/Short Story,Live Action,Drama
2002,25000000,15567860,3665420,1/1/2002,Contemporary Fiction,Original Screenplay,Live Action,Action
2007,25000000,35017297,24166524,1/1/2007,Contemporary Fiction,Original Screenplay,Live Action,Romantic Comedy
2002,25000000,11411644,5014057,1/1/2002,Super Hero,Based on TV,Hand Animation,Adventure
2015,25000000,19375982,82561080,1/1/2015,Kids Fiction,Spin-Off,Stop-Motion Animation,Adventure
2010,25000000,80014842,62018667,1/1/2010,Contemporary Fiction,Based on Fiction Book/Short Story,Live Action,Drama
2007,25000000,32589350,201679175,1/1/2007,Contemporary Fiction,Based on TV,Live Action,Comedy
2010,25000000,19490041,16564665,1/1/2010,Historical Fiction,Based on Fiction Book/Short Story,Live Action,Action
2005,25000000,51100486,72596255,1/1/2005,Contemporary Fiction,Original Screenplay,Live Action,Thriller/Suspense
2002,25000000,38230435,2565710,1/1/2002,Contemporary Fiction,Original Screenplay,Live Action,Comedy
2006,25000000,47124400,81466299,1/1/2006,Fantasy,Based on Fiction Book/Short Story,Live Action,Comedy
2008,25000000,148095302,126447783,1/1/2008,Contemporary Fiction,Original Screenplay,Live Action,Drama
2006,25000000,54607383,64688201,1/1/2006,Contemporary Fiction,Remake,Live Action,Horror
2005,25000000,11008432,2150848,1/1/2005,Dramatization,Original Screenplay,Live Action,Action
2009,25000000,25662155,6430606,1/1/2009,Contemporary Fiction,Original Screenplay,Live Action,Comedy
2009,25000000,8114270,21092462,1/1/2009,Science Fiction,Based on Fiction Book/Short Story,Live Action,Drama
2008,25000000,10915744,313291,1/1/2008,Dramatization,Based on Real Life Events,Live Action,Drama
2005,25000000,24381334,1351000,1/1/2005,Contemporary Fiction,Original Screenplay,Live Action,Comedy
2003,25000000,82490748,31953748,1/1/2003,Contemporary Fiction,Spin-Off,Live Action,Horror
2011,25000000,66528000,31878855,1/1/2011,Contemporary Fiction,Remake,Live Action,Action
2014,25000000,33680992,4900000,1/1/2014,Contemporary Fiction,Remake,Live Action,Drama
2004,25000000,84136909,5339356,1/1/2004,Historical Fiction,Original Screenplay,Live Action,Comedy
2005,25000000,4008527,41000,1/1/2005,Contemporary Fiction,Original Screenplay,Live Action,Comedy
2004,25000000,370782930,251637737,1/1/2004,Dramatization,Based on Religious Text,Live Action,Drama
2011,25000000,30542576,8206828,1/1/2011,Contemporary Fiction,Original Screenplay,Live Action,Comedy
2002,25000000,39882925,20586040,1/1/2002,Kids Fiction,Based on TV,Hand Animation,Adventure
2008,25000000,80048433,91253793,1/1/2008,Science Fiction,Original Screenplay,Live Action,Action
2007,25000000,82234139,55750649,1/1/2007,Fantasy,Based on Fiction Book/Short Story,Live Action,Drama
2007,25000000,22486409,18200000,1/1/2007,Contemporary Fiction,Original Screenplay,Live Action,Action
2010,25000000,11538204,4369207,1/1/2010,Dramatization,Based on Real Life Events,Live Action,Drama
2005,25000000,5128124,13863164,1/1/2005,Dramatization,Based on Real Life Events,Live Action,Drama
2011,25000000,18877153,13332588,1/1/2011,Contemporary Fiction,Original Screenplay,Live Action,Horror
2011,25000000,51580136,29669040,1/1/2011,Contemporary Fiction,Original Screenplay,Animation/Live Action,Thriller/Suspense
2004,25000000,17718223,3000000,1/1/2004,Contemporary Fiction,Original Screenplay,Live Action,Comedy
2009,25000000,15051977,11289919,1/1/2009,Fantasy,Based on Fiction Book/Short Story,Live Action,Thriller/Suspense
2003,25000000,90168825,34700000,1/1/2003,Contemporary Fiction,Original Screenplay,Live Action,Comedy
2009,25000000,137885,8264,1/1/2009,Dramatization,Based on Real Life Events,Live Action,Drama
2012,25000000,77267296,43565087,1/1/2012,Contemporary Fiction,Original Screenplay,Live Action,Comedy
2010,25000000,720828,8592474,1/1/2010,Historical Fiction,Based on Fiction Book/Short Story,Live Action,Drama
2004,25000000,14589444,17045706,1/1/2004,Contemporary Fiction,Original Screenplay,Live Action,Romantic Comedy
2003,25000000,47545060,10695398,1/1/2003,Kids Fiction,Original Screenplay,Live Action,Comedy
2002,25000000,10103647,4702165,1/1/2002,Contemporary Fiction,Based on Fiction Book/Short Story,Live Action,Drama
2009,25000000,1702112,10711837,1/1/2009,Contemporary Fiction,Remake,Live Action,Drama
2014,25000000,1513793,1317984,1/1/2014,Historical Fiction,Original Screenplay,Live Action,Western
2015,25000000,12227722,15855910,1/1/2015,Dramatization,Based on Factual Book/Article,Live Action,Drama
2008,25000000,14543943,28986338,1/1/2008,Kids Fiction,Original Screenplay,Digital Animation,Adventure
2005,25000000,15331289,136977,1/1/2005,Dramatization,Based on Fiction Book/Short Story,Live Action,Drama
2010,25000000,37738810,13000000,1/1/2010,Contemporary Fiction,Based on Play,Live Action,Black Comedy
2010,25000000,10324441,929380,1/1/2010,Contemporary Fiction,Remake,Live Action,Thriller/Suspense
2008,25000000,3073392,16979566,1/1/2008,Contemporary Fiction,Based on Fiction Book/Short Story,Live Action,Thriller/Suspense
2010,25000000,24046682,15079745,1/1/2010,Contemporary Fiction,Remake,Live Action,Horror
2008,25000000,48237389,23153212,1/1/2008,Contemporary Fiction,Original Screenplay,Live Action,Comedy
2011,25000000,134202565,19530700,1/1/2011,Contemporary Fiction,Original Screenplay,Live Action,Comedy
2001,25000000,25590119,13802992,1/1/2001,Contemporary Fiction,Original Screenplay,Live Action,Adventure
2008,25000000,4598506,8251527,1/1/2008,Contemporary Fiction,Original Screenplay,Live Action,Thriller/Suspense
2013,25000000,36447959,2769953,1/1/2013,Contemporary Fiction,Original Screenplay,Live Action,Drama
2002,25000000,10719367,1500000,1/1/2002,Contemporary Fiction,Original Screenplay,Live Action,Thriller/Suspense
2009,25000000,145000989,81940596,1/1/2009,Contemporary Fiction,Original Screenplay,Live Action,Thriller/Suspense
2010,25000000,13657115,10558270,1/1/2010,Contemporary Fiction,Original Screenplay,Live Action,Drama
2004,25000000,31526393,38800000,1/1/2004,Contemporary Fiction,Original Screenplay,Live Action,Horror
2003,25000000,34657731,21777211,1/1/2003,Contemporary Fiction,Original Screenplay,Live Action,Action
2008,25000000,17432844,5477719,1/1/2008,Contemporary Fiction,Based on Fiction Book/Short Story,Live Action,Horror
2010,25000000,14744435,1983035,1/1/2010,Contemporary Fiction,Original Screenplay,Live Action,Horror
2004,25000000,51676606,63359502,1/1/2004,Historical Fiction,Based on Play,Live Action,Drama
2006,25000000,33687630,21390449,1/1/2006,Contemporary Fiction,Based on Play,Live Action,Romantic Comedy
2005,25000000,21835784,26000000,1/1/2005,Contemporary Fiction,Original Screenplay,Live Action,Comedy
2007,25000000,31664162,34351707,1/1/2007,Fantasy,Based on Real Life Events,Live Action,Drama
2002,25000000,41597830,55354474,1/1/2002,Historical Fiction,Based on Fiction Book/Short Story,Live Action,Drama
2003,25000000,35623801,84300000,1/1/2003,Fantasy,Original Screenplay,Live Action,Horror
2013,25000000,16973715,54035619,1/1/2013,Contemporary Fiction,Original Screenplay,Live Action,Thriller/Suspense
2007,25000000,40222514,36986197,1/1/2007,Historical Fiction,Based on Fiction Book/Short Story,Live Action,Drama
2014,25000000,28842237,434667,1/1/2014,Contemporary Fiction,Original Screenplay,Live Action,Drama
2006,25000000,54098051,58700000,1/1/2006,Fantasy,Original Screenplay,Live Action,Horror
2006,25000000,16655224,5315607,1/1/2006,Contemporary Fiction,Original Screenplay,Live Action,Comedy
2010,25000000,70662220,78565858,1/1/2010,Contemporary Fiction,Original Screenplay,Live Action,Romantic Comedy
2004,25000000,84185387,97000000,1/1/2004,Kids Fiction,Based on TV,Live Action,Comedy
2007,25000000,13938332,396069,1/1/2007,Contemporary Fiction,Original Screenplay,Live Action,Comedy
2001,25000000,71500556,210026602,1/1/2001,Contemporary Fiction,Based on Fiction Book/Short Story,Live Action,Romantic Comedy
2003,25000000,39402572,16040460,1/1/2003,Kids Fiction,Based on TV,Hand Animation,Adventure
2005,25000000,36351350,2000000,1/1/2005,Contemporary Fiction,Spin-Off,Live Action,Comedy
2006,25000000,2405420,1200000,1/1/2006,Fantasy,Based on Game,Live Action,Action
2014,25000000,45090374,10000000,1/1/2014,Science Fiction,Based on Fiction Book/Short Story,Live Action,Drama
2007,25000000,74273505,89777745,1/1/2007,Historical Fiction,Based on Fiction Book/Short Story,Live Action,Action
2012,25000000,12512862,15500000,1/1/2012,Fantasy,Original Screenplay,Live Action,Drama
2002,25000000,17791031,6800000,1/1/2002,Contemporary Fiction,Original Screenplay,Live Action,Comedy
2011,25000000,205505,48325382,1/1/2011,Contemporary Fiction,Original Screenplay,Live Action,Comedy
2001,25000000,80936232,22056304,1/1/2001,Kids Fiction,Based on TV,Digital Animation,Adventure
2011,25000000,2546747,35565407,1/1/2011,Contemporary Fiction,Based on Play,Live Action,Drama
2011,25000000,60457138,36176695,1/1/2011,Contemporary Fiction,Based on Fiction Book/Short Story,Live Action,Drama
2010,25000000,23591432,6272408,1/1/2010,Contemporary Fiction,Based on Comic/Graphic Novel,Live Action,Action
2010,25000000,169705587,43414417,1/1/2010,Historical Fiction,Based on Fiction Book/Short Story,Live Action,Drama
2005,25000000,39008741,2507056,1/1/2005,Contemporary Fiction,Based on Fiction Book/Short Story,Live Action,Drama
2008,25100000,25534493,3041285,1/1/2008,Dramatization,Based on Real Life Events,Live Action,Drama
2005,25500000,33579798,52721801,1/1/2005,Historical Fiction,Based on Fiction Book/Short Story,Live Action,Drama
2003,26000000,46896664,43500000,1/1/2003,Fantasy,Original Screenplay,Live Action,Horror
2009,26000000,146336178,39568572,1/1/2009,Contemporary Fiction,Original Screenplay,Live Action,Comedy
2012,26000000,49875291,31400000,1/1/2012,Contemporary Fiction,Based on Real Life Events,Live Action,Action
2013,26000000,3254172,2900000,1/1/2013,Dramatization,Based on Real Life Events,Live Action,Drama
2004,26000000,23514247,5188836,1/1/2004,Kids Fiction,Original Screenplay,Live Action,Comedy
2001,26000000,7496522,11000000,1/1/2001,Contemporary Fiction,Original Screenplay,Live Action,Comedy
2011,26000000,37397291,16996346,1/1/2011,Historical Fiction,Based on Fiction Book/Short Story,Live Action,Drama
2005,26000000,57891803,38774683,1/1/2005,Contemporary Fiction,Original Screenplay,Live Action,Thriller/Suspense
2003,26000000,110222438,50600000,1/1/2003,Contemporary Fiction,Remake,Live Action,Comedy
2013,26000000,42472,2881487,1/1/2013,Contemporary Fiction,Original Screenplay,Live Action,Drama
2003,26000000,58331254,10282738,1/1/2003,Historical Fiction,Based on Fiction Book/Short Story,Live Action,Western
2015,26000000,12279691,15238669,1/1/2015,Science Fiction,Original Screenplay,Live Action,Thriller/Suspense
2004,26000000,45489752,18000000,1/1/2004,Contemporary Fiction,Original Screenplay,Live Action,Comedy
2014,26000000,26766213,1100000,1/1/2014,Contemporary Fiction,Based on Fiction Book/Short Story,Live Action,Drama
2011,26000000,16008272,14593529,1/1/2011,Historical Fiction,Original Screenplay,Live Action,Thriller/Suspense
2002,26000000,36985501,1803327,1/1/2002,Science Fiction,Original Screenplay,Live Action,Adventure
2010,26000000,40122938,27479494,1/1/2010,Fantasy,Original Screenplay,Live Action,Thriller/Suspense
2005,26000000,109243478,67894993,1/1/2005,Contemporary Fiction,Original Screenplay,Live Action,Comedy
2008,26000000,87341380,15062639,1/1/2008,Contemporary Fiction,Original Screenplay,Live Action,Comedy
2011,26000000,54544638,92305635,1/1/2011,Contemporary Fiction,Original Screenplay,Live Action,Romantic Comedy
2009,26000000,28544157,16499713,1/1/2009,Historical Fiction,Remake,Live Action,Drama
2010,27000000,79249455,76315464,1/1/2010,Science Fiction,Based on Fiction Book/Short Story,Live Action,Thriller/Suspense
2005,27000000,4476235,12090000,1/1/2005,Contemporary Fiction,Original Screenplay,Live Action,Thriller/Suspense
2011,27000000,38536376,42144807,1/1/2011,Kids Fiction,Original Screenplay,Live Action,Adventure
2005,27000000,12834849,339577,1/1/2005,Contemporary Fiction,Based on TV,Live Action,Comedy
2002,27000000,40803000,89956651,1/1/2002,Contemporary Fiction,Based on Fiction Book/Short Story,Live Action,Romantic Comedy
2008,27000000,13848978,31311132,1/1/2008,Dramatization,Based on Fiction Book/Short Story,Live Action,Drama
2007,27000000,7500310,1851779,1/1/2007,Contemporary Fiction,Based on Fiction Book/Short Story,Live Action,Drama
2010,27000000,13261851,15511976,1/1/2010,Fantasy,Original Screenplay,Live Action,Horror
2008,27000000,44089964,180167,1/1/2008,Contemporary Fiction,Based on Fiction Book/Short Story,Live Action,Adventure
2008,27000000,1090947,1321176,1/1/2008,Contemporary Fiction,Based on Fiction Book/Short Story,Live Action,Comedy
2002,27000000,69586544,4240224,1/1/2002,Contemporary Fiction,Based on Fiction Book/Short Story,Live Action,Comedy
2006,27000000,22495466,33000000,1/1/2006,Contemporary Fiction,Original Screenplay,Live Action,Thriller/Suspense
2009,27500000,49200230,47472772,1/1/2009,Contemporary Fiction,Based on Fiction Book/Short Story,Live Action,Drama
2008,27500000,42168445,1171110,1/1/2008,Contemporary Fiction,Original Screenplay,Live Action,Comedy
2007,27500000,9736045,17203880,1/1/2007,Contemporary Fiction,Original Screenplay,Live Action,Thriller/Suspense
2011,27500000,4463292,11352217,1/1/2011,Historical Fiction,Original Screenplay,Live Action,Thriller/Suspense
2011,27500000,30932113,225801,1/1/2011,Contemporary Fiction,Original Screenplay,Live Action,Musical
2006,27500000,17510118,33068293,1/1/2006,Contemporary Fiction,Based on Fiction Book/Short Story,Live Action,Drama
2007,27500000,148761765,70504187,1/1/2007,Contemporary Fiction,Original Screenplay,Live Action,Romantic Comedy
2009,28000000,24307106,22445752,1/1/2009,Kids Fiction,Original Screenplay,Live Action,Comedy
2015,28000000,10907291,5268177,1/1/2015,Science Fiction,Based on Fiction Book/Short Story,Live Action,Black Comedy
2001,28000000,45172250,15608731,1/1/2001,Contemporary Fiction,Original Screenplay,Live Action,Comedy
2001,28000000,52353636,19077240,1/1/2001,Contemporary Fiction,Original Screenplay,Live Action,Black Comedy
2011,28000000,37053924,3912792,1/1/2011,Contemporary Fiction,Original Screenplay,Live Action,Comedy
2011,28000000,71399120,22651831,1/1/2011,Contemporary Fiction,Based on Fiction Book/Short Story,Live Action,Drama
2005,28000000,38372662,88176945,1/1/2005,Historical Fiction,Based on Fiction Book/Short Story,Live Action,Drama
2004,28000000,58990765,44462110,1/1/2004,Science Fiction,Remake,Live Action,Horror
2008,28000000,67294270,27199871,1/1/2008,Contemporary Fiction,Original Screenplay,Live Action,Comedy
2010,28000000,48071303,49459831,1/1/2010,Contemporary Fiction,Based on Comic/Graphic Novel,Live Action,Black Comedy
2013,28000000,66954149,34425138,1/1/2013,Kids Fiction,Based on Fiction Book/Short Story,Live Action,Comedy
2013,28000000,28795985,34333924,1/1/2013,Contemporary Fiction,Based on Comic/Graphic Novel,Live Action,Action
2013,28000000,30697999,8261901,1/1/2013,Contemporary Fiction,Original Screenplay,Live Action,Thriller/Suspense
2015,28000000,161058685,40286034,1/1/2015,Dramatization,Based on Real Life Events,Live Action,Drama
2003,28000000,10762178,27445930,1/1/2003,Factual,Based on Real Life Events,Live Action,Documentary
2004,28000000,64378093,96612,1/1/2004,Dramatization,Based on Real Life Events,Live Action,Drama
2015,28000000,70259870,61200000,1/1/2015,Historical Fiction,Based on Factual Book/Article,Live Action,Drama
2014,28000000,7002261,1590171,1/1/2014,Contemporary Fiction,Based on Movie,Live Action,Drama
2013,28000000,63914167,49000000,1/1/2013,Contemporary Fiction,Original Screenplay,Live Action,Comedy
2014,28000000,20396829,53024395,1/1/2014,Science Fiction,Original Screenplay,Live Action,Action
2013,28000000,26017685,36090902,1/1/2013,Historical Fiction,Based on Fiction Book/Short Story,Live Action,Action
2001,28000000,60400856,34327673,1/1/2001,Contemporary Fiction,Original Screenplay,Live Action,Romantic Comedy
2007,28000000,43107979,48835977,1/1/2007,Contemporary Fiction,Remake,Live Action,Romantic Comedy
2001,28000000,74058698,31100387,1/1/2001,Contemporary Fiction,Based on Fiction Book/Short Story,Live Action,Thriller/Suspense
2001,28000000,50255310,25038826,1/1/2001,Contemporary Fiction,Original Screenplay,Live Action,Romantic Comedy
2008,28000000,2775593,9255850,1/1/2008,Contemporary Fiction,Based on Fiction Book/Short Story,Live Action,Comedy
2007,28000000,28563179,26744678,1/1/2007,Contemporary Fiction,Original Screenplay,Live Action,Drama
2003,28000000,52131264,30052419,1/1/2003,Contemporary Fiction,Original Screenplay,Live Action,Thriller/Suspense
2006,28000000,17326650,20833255,1/1/2006,Contemporary Fiction,Original Screenplay,Live Action,Romantic Comedy
2005,28500000,6301131,9151847,1/1/2005,Fantasy,Original Screenplay,Live Action,Thriller/Suspense
2015,29000000,57150445,10783589,1/1/2015,Contemporary Fiction,Original Screenplay,Live Action,Comedy
2002,29000000,16930185,3215965,1/1/2002,Contemporary Fiction,Original Screenplay,Live Action,Romantic Comedy
2014,29000000,183785415,103209963,1/1/2014,Contemporary Fiction,Based on Factual Book/Article,Live Action,Comedy
2004,29000000,17016190,7700000,1/1/2004,Contemporary Fiction,Original Screenplay,Live Action,Horror
2002,29000000,16003576,17006087,1/1/2002,Dramatization,Based on Fiction Book/Short Story,Live Action,Drama
2008,29000000,18622031,9830914,1/1/2008,Dramatization,Based on Play,Live Action,Drama
2005,29000000,119519402,68188093,1/1/2005,Dramatization,Based on Real Life Events,Live Action,Drama
2003,29000000,56330657,41082870,1/1/2003,Contemporary Fiction,Original Screenplay,Live Action,Action
2009,29000000,7460204,2606162,1/1/2009,Dramatization,Based on Fiction Book/Short Story,Live Action,Drama
2005,30000000,53359111,61411543,1/1/2005,Fantasy,Based on Folk Tale/Legend/Fairytale,Stop-Motion Animation,Adventure
2004,30000000,81001787,35115553,1/1/2004,Contemporary Fiction,Based on Fiction Book/Short Story,Live Action,Drama
2009,30000000,42100625,49287862,1/1/2009,Fantasy,Original Screenplay,Live Action,Horror
2010,30000000,42073277,28694867,1/1/2010,Fantasy,Original Screenplay,Live Action,Thriller/Suspense
2005,30000000,49186871,40183018,1/1/2005,Kids Fiction,Original Screenplay,Animation/Live Action,Comedy
2006,30000000,18522064,12440048,1/1/2006,Science Fiction,Original Screenplay,Live Action,Action
2004,30000000,9055010,1364074,1/1/2004,Contemporary Fiction,Original Screenplay,Live Action,Romantic Comedy
2007,30000000,39568996,40707160,1/1/2007,Fantasy,Based on Comic/Graphic Novel,Live Action,Horror
2010,30000000,53032453,29116085,1/1/2010,Contemporary Fiction,Based on Factual Book/Article,Live Action,Drama
2009,30000000,31749894,16810105,1/1/2009,Fantasy,Original Screenplay,Digital Animation,Adventure
2005,30000000,20040895,16000000,1/1/2005,Contemporary Fiction,Remake,Live Action,Action
2011,30000000,28700285,32923534,1/1/2011,Contemporary Fiction,Original Screenplay,Live Action,Romantic Comedy
2010,30000000,21148651,46107265,1/1/2010,Contemporary Fiction,Remake,Live Action,Thriller/Suspense
2006,30000000,669625,35200309,1/1/2006,Fantasy,Original Screenplay,Live Action,Action
2011,30000000,116632095,60393403,1/1/2011,Dramatization,Based on Real Life Events,Live Action,Drama
2002,30000000,51432423,11000000,1/1/2002,Kids Fiction,Original Screenplay,Live Action,Comedy
2011,30000000,63536011,69549284,1/1/2011,Contemporary Fiction,Original Screenplay,Live Action,Romantic Comedy
2004,30000000,85416609,56634646,1/1/2004,Kids Fiction,Based on TV,Hand Animation,Adventure
2015,30000000,52421953,36301038,1/1/2015,Contemporary Fiction,Original Screenplay,Live Action,Drama
2010,30000000,538690,3183298,1/1/2010,Dramatization,Based on Real Life Events,Live Action,Drama
2014,30000000,3200,925957,1/1/2014,Contemporary Fiction,Based on Fiction Book/Short Story,Live Action,Action
2002,30000000,65005217,42049267,1/1/2002,Contemporary Fiction,Based on Fiction Book/Short Story,Live Action,Drama
2004,30000000,114326736,53464968,1/1/2004,Contemporary Fiction,Original Screenplay,Live Action,Comedy
2004,30000000,58156435,6964845,1/1/2004,Contemporary Fiction,Based on Fiction Book/Short Story,Live Action,Comedy
2014,30000000,30569935,2745869,1/1/2014,Dramatization,Based on Real Life Events,Live Action,Drama
2004,30000000,20422207,1336164,1/1/2004,Contemporary Fiction,Original Screenplay,Live Action,Romantic Comedy
2015,30000000,32363404,13861922,1/1/2015,Contemporary Fiction,Based on TV,Live Action,Comedy
2008,30000000,16930884,16024515,1/1/2008,Contemporary Fiction,Original Screenplay,Live Action,Thriller/Suspense
2010,30000000,32367005,70349316,1/1/2010,Contemporary Fiction,Based on Factual Book/Article,Live Action,Drama
2011,30000000,66486205,103980200,1/1/2011,Science Fiction,Original Screenplay,Live Action,Action
2010,30000000,42400223,123488894,1/1/2010,Contemporary Fiction,Original Screenplay,Live Action,Drama
2007,30000000,3909149,11404482,1/1/2007,Dramatization,Based on Fiction Book/Short Story,Live Action,Western
2010,30000000,56816662,106126173,1/1/2010,Fantasy,Original Screenplay,Live Action,Romantic Comedy
2009,30000000,7502560,1343015,1/1/2009,Dramatization,Based on Fiction Book/Short Story,Live Action,Drama
2009,30000000,115646235,96807196,1/1/2009,Science Fiction,Original Screenplay,Animation/Live Action,Thriller/Suspense
2009,30000000,7689607,56663000,1/1/2009,Fantasy,Original Screenplay,Live Action,Adventure
2005,30000000,74494381,18000000,1/1/2005,Contemporary Fiction,Original Screenplay,Live Action,Drama
2009,30000000,17010170,9847289,1/1/2009,Science Fiction,Original Screenplay,Animation/Live Action,Horror
2005,30000000,3102550,150000,1/1/2005,Contemporary Fiction,Original Screenplay,Live Action,Action
