"pitches","player_id","player_name","game_date","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance"
"27",425794,"Wainwright, Adam","2021-05-29","93","29.0","0.400","0.600","0.500","1.000","0.596","0.359","0.248","2","5","83.1","14.0","2561","82.3","82.13","3","9","18","-0.2","6.53","100","154","115","147","305","319","301"
"25",425794,"Wainwright, Adam","2021-09-13","103","24.3","0.250","0.250","0.250","0.500","0.387","0.628","0.647","1","4","97.5","8.5","2406","80.3","79.91","2","11","14","-0.4","6.36","121","166","110","150","296","327","304"
"22",425794,"Wainwright, Adam","2021-06-09","95","23.2","0.000","0.000","0.000","0.000","0.180","0.261","0.117","0","3","74.3","-15.5","2506","82.3","82.68","1","12","10","0.4","6.58","99","147","114","146","295","310","287"
"21",425794,"Wainwright, Adam","2021-07-16","88","23.9","0.400","0.600","0.333","1.000","0.596","0.468","0.359","2","5","99.8","20.8","2381","81.0","81.25","1","9","12","0.3","6.53","112","150","109","147","299","324","293"
"19",425794,"Wainwright, Adam","2021-04-14","85","22.4","0.500","0.167","0.600","0.667","0.500","0.330","0.322","3","6","87.3","15.8","2431","82.2","77.83","1","9","10","-4.4","6.50","111","148","109","135","301","322","310"
"19",425794,"Wainwright, Adam","2021-04-08","94","20.2","0.250","0.000","0.500","0.250","0.220","0.344","0.368","1","4","99.6","8.5","2434","79.9","80.11","2","7","12","0.2","6.52","112","154","123","152","305","331","312"
"17",425794,"Wainwright, Adam","2021-09-28","102","16.7","0.000","0.000","0.000","0.000","0.000","0.138","0.152","0","3","92.7","33.0","2328","85.1","85.78","1","8","9","0.7","6.60","126","170","122","153","302","333","304"
"17",425794,"Wainwright, Adam","2021-06-14","105","16.2","0.000","0.000","0.000","0.000","0.000","0.051","0.056","0","3","81.9","-25.5","2549","83.2","83.25","0","7","10","0.1","6.54","121","151","116","149","298","299","274"
"17",425794,"Wainwright, Adam","2021-09-03","105","16.2","0.250","0.000","0.333","0.250","0.220","0.211","0.228","1","4","96.2","-6.7","2425","82.1","82.29","3","10","7","0.2","6.38","111","162","134","150","301","324","291"
"15",425794,"Wainwright, Adam","2021-08-22","106","14.2","0.250","0.250","0.250","0.500","0.310","0.309","0.340","1","4","93.7","-0.5","2462","79.7","79.66","1","5","10","0.0","6.35","129","169","109","150","288","318","292"
