"pitches","player_id","player_name","game_date","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance"
"21",621111,"Buehler, Walker","2021-08-20","107","19.6","0.600","0.000","1.000","0.600","0.527","0.196","0.202","3","5","74.1","-35.0","2373","92.9","93.30","4","11","10","0.4","6.34","105","150","114","150","290","309","300"
"17",543135,"Eovaldi, Nathan","2021-07-24","100","17.0","0.500","0.250","0.500","0.750","0.530","0.356","0.365","2","4","85.0","32.5","1979","89.2","90.25","3","11","6","1.1","6.78","119","155","111","148","276","324","303"
"13",554430,"Wheeler, Zack","2021-08-08","108","12.0","0.000","0.000","0.000","0.000","0.173","0.194","0.025","0","3","79.4","54.0","2140","95.4","96.88","2","7","6","1.5","7.18","111","150","122","151","289","326","291"
"13",608331,"Fried, Max","2021-09-24","98","13.3","0.000","0.000","0.000","0.000","0.000","0.109","0.120","0","3","82.0","18.0","2322","84.4","84.31","0","7","6","-0.1","6.21","112","155","142","135","274","313","298"
"13",554430,"Wheeler, Zack","2021-08-25","102","12.7","0.400","0.000","0.667","0.400","0.352","0.191","0.209","2","5","79.3","0.7","2385","92.6","93.92","4","11","2","1.3","7.22","117","149","102","152","292","324","300"
"12",554430,"Wheeler, Zack","2021-04-26","114","10.5","0.000","0.000","0.000","0.000","0.000","0.198","0.174","0","3","95.5","4.0","2361","92.7","94.70","2","6","6","2.0","7.24","119","151","120","150","311","332","309"
"12",543135,"Eovaldi, Nathan","2021-06-26","109","11.0","0.333","1.000","0.000","1.333","0.669","0.546","0.339","1","3","101.5","11.5","2195","88.8","89.64","1","5","7","0.8","6.70","121","153","119","149","293","324","298"
"12",554430,"Wheeler, Zack","2021-06-10","105","11.4","0.250","0.000","0.333","0.250","0.220","0.217","0.214","1","4","96.3","33.0","2389","92.4","93.91","2","7","5","1.5","7.12","90","150","106","146","294","327","287"
"11",592836,"Walker, Taijuan","2021-09-29","90","12.2","0.500","0.500","0.500","1.000","0.644","0.309","0.130","1","2","82.9","42.0","2145","88.4","87.48","0","4","7","-0.9","5.87","117","149","104","148","286","310","294"
"11",554430,"Wheeler, Zack","2021-05-06","118","9.3","0.000","0.000","0.000","0.000","0.000","0.247","0.274","0","3","87.4","-0.3","2378","91.6","92.98","0","6","5","1.4","7.08","124","163","128","155","298","331","297"
"10",608331,"Fried, Max","2021-08-20","90","11.1","0.000","0.000","0.000","0.000","0.000","0.058","0.056","0","3","90.4","-23.5","2522","81.8","81.71","3","5","5","-0.1","6.36","110","155","120","148","305","331","278"
"10",554430,"Wheeler, Zack","2021-08-03","105","9.5","0.667","1.000","0.500","1.667","0.962","1.011","0.716","2","3","80.3","-1.7","2329","93.0","94.72","0","5","5","1.7","7.11","103","149","114","146","312","330","302"
"9",621111,"Buehler, Walker","2021-06-19","108","8.3","0.667","0.000","1.000","0.667","0.586","0.416","0.445","2","3","93.7","8.5","2656","88.3","88.16","1","4","5","-0.1","6.43","107","150","117","155","301","328","309"
"9",554430,"Wheeler, Zack","2021-06-04","101","8.9","0.500","0.000","0.500","0.500","0.440","0.251","0.279","1","2","53.9","32.5","2341","91.7","92.76","1","5","4","1.1","7.10","104","153","110","147","299","327","282"
"8",554430,"Wheeler, Zack","2021-07-02","114","7.0","0.000","0.000","0.000","0.000","0.000","0.045","0.048","0","2","67.6","-43.0","2312","93.1","94.65","0","3","5","1.6","7.13","119","153","110","152","296","328","295"
"5",554430,"Wheeler, Zack","2021-05-23","98","5.1","0.500","1.500",,"2.000","1.003","0.999","0.497","1","2","118.6","29.0","2372","91.6","93.22","1","3","2","1.6","7.16","109","154","114","148","297","326","284"
"4",621111,"Buehler, Walker","2021-07-22","99","4.0","0.500","0.000","0.500","0.500","0.440","0.431","0.457","1","2","100.7","-5.5","2420","89.5","89.93","0","3","1","0.4","6.38","121","156","111","152","312","319","296"
