"pitches","player_id","player_name","game_date","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance"
"21",554430,"Wheeler, Zack","2021-05-06","118","17.8","0.400","0.000","0.400","0.400","0.352","0.309","0.320","2","5","86.6","24.2","2271","95.2","96.49","1","11","10","1.3","7.18","117","148","113","148","296","324","298"
"16",554430,"Wheeler, Zack","2021-08-08","108","14.8","0.250","0.000","0.500","0.250","0.220","0.196","0.207","1","4","81.6","29.0","2325","95.5","97.01","5","11","5","1.5","7.19","113","153","111","150","293","326","289"
"13",608331,"Fried, Max","2021-09-24","98","13.3","0.000","0.000","0.000","0.000","0.000","0.217","0.234","0","3","88.1","-4.3","2421","87.2","87.26","0","9","4","0.1","6.34","113","155","119","149","294","320","294"
"9",554430,"Wheeler, Zack","2021-08-25","102","8.8","1.000","1.333","1.000","2.333","1.376","0.936","0.572","3","3","98.1","17.3","2374","95.0","96.62","1","7","2","1.6","7.23","97","132","98","138","294","319","291"
"7",608331,"Fried, Max","2021-08-20","90","7.8","0.000","0.000","0.000","0.000","0.000","0.284","0.310","0","3","102.1","1.0","2210","89.4","89.74","1","5","2","0.3","6.56","100","153","116","152","300","321","294"
"7",554430,"Wheeler, Zack","2021-04-26","114","6.1",,,,,"0.692","0.692",,"0","0",,,"2456","91.6","93.47","1","3","4","1.9","7.17","127","146","128","153","303","326","299"
