"pitches","player_id","player_name","game_date","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance"
"38",543135,"Eovaldi, Nathan","2021-09-14","95","40.0","0.500","0.000","0.600","0.500","0.377","0.516","0.311","3","6","77.8","11.8","1941","87.3","87.89","5","21","17","0.6","6.76","108","144","114","144","289","325","297"
"37",592836,"Walker, Taijuan","2021-04-20","91","40.7","0.500","0.000","1.000","0.500","0.548","0.500","0.382","2","4","93.1","11.5","2121","89.2","89.10","6","14","23","-0.1","6.22","115","160","122","152","296","328","297"
"32",621111,"Buehler, Walker","2021-09-22","74","43.2","0.750","0.500","0.833","1.250","0.846","0.585","0.466","6","8","93.4","21.6","2326","90.7","91.51","3","19","13","0.8","6.35","108","149","109","150","310","328","298"
"32",663556,"McClanahan, Shane","2021-05-09","80","40.0","0.500","0.000","0.600","0.500","0.476","0.425","0.399","3","6","92.7","28.6","2378","92.2","90.26","4","14","18","-1.9","6.71","100","165","119","150","309","317","299"
"30",543135,"Eovaldi, Nathan","2021-05-06","79","38.0","0.500","0.125","0.571","0.625","0.508","0.393","0.340","4","8","90.5","1.9","2123","88.7","89.23","3","18","12","0.5","6.54","112","152","112","146","282","317","298"
"29",554430,"Wheeler, Zack","2021-09-17","93","31.2","0.400","0.000","0.500","0.400","0.453","0.526","0.491","2","5","77.6","15.8","2249","92.4","93.68","4","13","16","1.3","7.10","105","144","110","145","279","311","297"
"28",621111,"Buehler, Walker","2021-05-17","98","28.6","0.000","0.000","0.000","0.000","0.346","0.357","0.023","0","3","76.8","49.0","2787","90.8","90.82","5","8","20","0.0","6.39","116","157","123","153","291","318","295"
"28",608331,"Fried, Max","2021-04-13","86","32.6","0.500","0.167","0.600","0.667","0.555","0.475","0.411","3","6","77.5","-1.8","2241","87.9","88.05","4","14","14","0.1","6.29","109","154","119","152","303","318","293"
"26",608331,"Fried, Max","2021-07-05","91","28.6","0.250","0.750","0.000","1.000","0.540","0.543","0.283","1","4","92.6","-1.7","2448","86.3","86.23","3","15","11","-0.1","6.21","104","156","117","146","319","322","278"
"26",663556,"McClanahan, Shane","2021-08-27","78","33.3","0.571","0.571","0.600","1.143","0.715","0.483","0.381","4","7","89.9","4.3","2334","90.6","91.14","2","13","13","0.5","6.65","98","152","118","146","308","333","288"
"26",554430,"Wheeler, Zack","2021-08-13","94","27.7","0.500","0.750","0.333","1.250","0.717","0.601","0.373","2","4","94.3","2.8","2445","92.9","94.36","3","12","14","1.5","7.21","113","155","113","150","294","333","297"
"25",608331,"Fried, Max","2021-08-03","98","25.5","0.250","0.000","0.500","0.250","0.220","0.165","0.135","1","4","95.2","23.5","2331","86.0","85.91","4","18","7","-0.1","6.34","104","154","118","146","306","322","301"
"25",663556,"McClanahan, Shane","2021-08-01","88","28.4","0.400","0.600","0.333","1.000","0.596","0.457","0.342","2","5","91.9","29.8","2447","90.6","91.30","5","12","13","0.7","6.90","106","149","112","148","310","330","293"
"24",608331,"Fried, Max","2021-06-01","92","26.1","0.500","0.000","0.667","0.500","0.496","0.356","0.265","2","4","79.2","23.3","2358","86.1","86.26","1","12","12","0.2","6.36","108","148","113","147","313","313","283"
"23",608331,"Fried, Max","2021-07-23","100","23.0","0.400","0.200","0.667","0.600","0.469","0.229","0.145","2","5","74.2","2.7","2560","85.2","85.22","4","13","10","0.0","6.27","101","149","111","150","288","314","272"
"23",663556,"McClanahan, Shane","2021-08-13","101","22.8","0.400","0.000","0.667","0.400","0.408","0.380","0.320","2","5","95.3","-7.0","2435","90.1","90.64","3","7","16","0.5","6.51","96","146","118","142","303","324","298"
"23",608331,"Fried, Max","2021-09-07","96","24.0","0.250","0.250","0.333","0.500","0.387","0.300","0.132","1","4","77.8","-26.7","2250","85.6","85.70","4","9","14","0.1","6.36","108","149","116","149","301","317","298"
"23",543135,"Eovaldi, Nathan","2021-06-09","107","21.5","0.400","0.200","0.500","0.600","0.469","0.293","0.215","2","5","84.7","19.5","2139","90.7","91.48","3","9","14","0.8","6.70","115","160","116","150","280","326","295"
"23",663556,"McClanahan, Shane","2021-05-04","63","36.5","0.250","0.250","0.500","0.500","0.387","0.373","0.206","1","4","96.8","25.0","2407","91.9","92.62","4","11","12","0.7","6.65","111","155","121","150","307","322","302"
"22",543135,"Eovaldi, Nathan","2021-05-29","101","21.8","0.200","0.000","0.200","0.200","0.176","0.527","0.352","1","5","88.5","21.0","2064","90.4","90.80","3","13","9","0.4","6.63","101","144","119","149","281","312","300"
"22",592836,"Walker, Taijuan","2021-07-29","87","25.3","0.400","1.200","0.000","1.600","0.784","0.477","0.240","2","5","94.0","25.0","1931","89.8","89.22","1","10","12","-0.6","5.80","116","177","123","152","298","332","302"
"22",663556,"McClanahan, Shane","2021-06-15","89","24.7","0.400","0.000","0.500","0.400","0.408","0.275","0.197","2","5","88.7","-13.8","2334","90.1","90.98","2","7","15","0.9","6.77","106","152","112","145","295","320","293"
"22",663556,"McClanahan, Shane","2021-07-20","93","23.7","0.000","0.000","0.000","0.000","0.000","0.226","0.181","0","4","93.1","16.5","2334","88.5","89.25","4","12","10","0.8","6.87","107","147","112","149","296","326","296"
"22",621111,"Buehler, Walker","2021-05-11","91","24.2","0.500","0.750","0.333","1.250","0.715","0.557","0.426","2","4","85.5","9.8","2754","91.8","92.40","2","9","13","0.6","6.51","103","155","121","148","300","317","289"
