"pitches","player_id","player_name","game_date","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance"
"25",425794,"Wainwright, Adam","2021-05-03","93","26.9","0.400","0.200","1.000","0.600","0.505","0.339","0.203","2","5","76.4","28.5","2514","82.0","82.34","3","8","17","0.3","6.58","121","158","117","151","285","311","303"
"24",425794,"Wainwright, Adam","2021-06-26","102","23.5","0.250","0.000","0.500","0.250","0.314","0.394","0.344","1","4","100.1","8.5","2542","81.5","82.04","2","12","12","0.5","6.48","107","157","122","148","295","305","291"
"23",425794,"Wainwright, Adam","2021-07-06","97","23.7","0.400","0.000","0.500","0.400","0.352","0.217","0.220","2","5","87.4","15.8","2456","82.4","67.50","1","7","16","-14.9","6.46","106","145","110","147","293","323","304"
"23",425794,"Wainwright, Adam","2021-06-03","105","21.9","0.500","0.500","0.500","1.000","0.627","0.552","0.401","3","6","94.1","0.8","2515","82.9","83.23","0","9","14","0.3","6.56","94","154","113","144","302","312","302"
"23",425794,"Wainwright, Adam","2021-05-15","92","25.0","0.500","0.500","0.500","1.000","0.627","0.345","0.328","3","6","85.2","18.0","2389","85.2","85.41","1","7","16","0.2","6.53","106","154","104","151","297","319","284"
"21",425794,"Wainwright, Adam","2021-09-28","102","20.6","0.400","0.000","0.500","0.400","0.352","0.257","0.283","2","5","83.5","-8.3","2405","83.9","84.19","1","9","12","0.3","6.50","107","161","127","148","306","333","300"
"21",425794,"Wainwright, Adam","2021-05-09","113","18.6","0.333","0.333","0.333","0.667","0.483","0.489","0.430","1","3","99.5","4.7","2345","83.8","84.00","0","6","15","0.2","6.52","118","155","120","148","296","318","291"
"20",425794,"Wainwright, Adam","2021-07-01","110","18.2","0.400","0.600","0.333","1.000","0.596","0.681","0.522","2","5","85.1","-1.8","2371","84.1","84.96","1","6","14","0.9","6.47","104","152","120","147","308","334","297"
"20",425794,"Wainwright, Adam","2021-04-20","100","20.0","0.250","0.250","0.333","0.500","0.387","0.218","0.104","1","4","84.9","3.3","2469","83.3","83.79","2","7","13","0.5","6.67","122","161","120","150","298","322","303"
"19",425794,"Wainwright, Adam","2021-09-23","78","24.4","0.000","0.000","0.000","0.000","0.000","0.344","0.296","0","3","91.0","12.0","2273","84.4","84.58","2","9","10","0.2","6.36","124","158","116","148","299","315","290"
"18",425794,"Wainwright, Adam","2021-04-14","85","21.2","0.250","0.250","0.500","0.500","0.387","0.332","0.260","1","4","90.3","15.0","2431","83.7","83.74","3","8","10","0.0","6.53","104","149","111","144","302","317","286"
