"pitches","player_id","player_name","game_date","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance"
"38",543135,"Eovaldi, Nathan","2021-05-16","87","43.7","0.571","0.286","0.667","0.857","0.628","0.516","0.496","4","7","85.9","8.7","2120","91.3","91.97","4","21","17","0.7","6.63","97","139","112","136","274","316","300"
"33",543135,"Eovaldi, Nathan","2021-08-28","97","34.0","0.571","0.714","0.750","1.286","0.767","0.460","0.327","4","7","88.1","31.0","2033","85.4","86.25","5","14","19","0.8","6.70","107","147","114","149","300","324","297"
"33",592836,"Walker, Taijuan","2021-09-11","103","32.0","0.625","1.125","0.400","1.750","0.972","0.769","0.517","5","8","88.5","16.3","2068","91.8","91.41","1","15","18","-0.4","6.08","108","157","111","148","308","326","297"
"32",621111,"Buehler, Walker","2021-04-16","93","34.4","0.400","0.000","0.500","0.400","0.408","0.344","0.276","2","5","95.1","17.5","2793","92.1","91.89","3","14","18","-0.2","6.50","111","155","111","150","299","318","288"
"30",608331,"Fried, Max","2021-06-01","92","32.6","0.000","0.000","0.000","0.000","0.277","0.329","0.097","0","3","93.6","-2.0","2309","88.7","89.13","3","12","18","0.4","6.39","107","150","129","146","312","320","287"
"30",608331,"Fried, Max","2021-04-13","86","34.9","0.571","0.714","0.600","1.286","0.758","0.356","0.276","4","7","92.8","18.0","2265","86.0","86.02","5","15","15","0.0","6.24","108","155","120","152","307","321","294"
"30",543135,"Eovaldi, Nathan","2021-06-20","87","34.5","0.333","0.167","0.400","0.500","0.353","0.306","0.319","2","6","86.2","-1.2","2018","90.5","91.08","6","19","11","0.6","6.61","104","147","112","148","303","340","308"
"29",621111,"Buehler, Walker","2021-07-17","93","31.2","0.333","0.333","0.333","0.667","0.438","0.358","0.213","1","3","90.3","39.0","2648","93.0","93.66","2","10","19","0.7","6.33","108","155","112","152","304","339","310"
"29",663556,"McClanahan, Shane","2021-06-02","79","36.7","0.250","0.250","0.500","0.500","0.387","0.412","0.275","1","4","89.0","25.5","2267","92.0","92.97","5","13","16","1.0","6.76","109","155","119","150","303","318","289"
"28",543135,"Eovaldi, Nathan","2021-04-02","89","31.5","0.250","0.000","0.333","0.250","0.314","0.244","0.088","1","4","80.3","-12.7","2004","92.8","93.06","4","12","16","0.3","6.60","107","160","121","149","283","314","301"
