"pitches","player_id","player_name","game_date","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance"
"36",554430,"Wheeler, Zack","2021-06-22","73","49.3","0.500","0.000","0.750","0.500","0.476","0.498","0.464","3","6","91.6","14.3","2397","91.8","93.23","3","13","23","1.4","7.12","103","149","114","146","299","326","291"
"35",592836,"Walker, Taijuan","2021-07-18","35","100.0","0.800","0.400","0.800","1.200","0.779","0.582","0.518","4","5","94.6","-6.4","2112","90.0","86.95","3","12","23","-3.0","5.96","109","138","102","142","297","316","287"
"33",621111,"Buehler, Walker","2021-06-13","96","34.4","0.000","0.000","0.000","0.000","0.346","0.387","0.091","0","3","75.2","6.0","2699","92.5","92.80","2","15","18","0.3","6.28","104","157","124","154","299","318","299"
"32",608331,"Fried, Max","2021-04-07","49","65.3","0.714","0.571","0.800","1.286","0.731","0.457","0.338","5","7","84.0","16.5","2347","87.9","88.06","3","11","21","0.2","6.38","99","150","113","150","296","317","293"
"31",554430,"Wheeler, Zack","2021-05-01","97","32.0","0.667","0.333","0.800","1.000","0.707","0.603","0.521","4","6","102.2","8.4","2376","96.2","97.47","4","15","16","1.3","7.13","113","148","112","147","289","321","298"
"31",554430,"Wheeler, Zack","2021-08-30","95","32.6","0.000","0.000","0.000","0.000","0.346","0.377","0.066","0","3","68.8","11.0","2390","95.6","97.55","3","13","18","1.9","7.22","110","151","115","153","299","318","299"
"29",663556,"McClanahan, Shane","2021-07-09","91","31.9","0.400","0.000","0.400","0.400","0.408","0.510","0.457","2","5","89.5","-0.8","2310","90.7","91.47","2","17","12","0.8","6.88","99","159","121","151","309","333","292"
"29",554430,"Wheeler, Zack","2021-04-14","108","26.9","0.600","0.000","0.600","0.600","0.579","0.560","0.538","3","5","95.2","0.8","2356","94.4","95.77","0","11","18","1.4","7.05","102","147","113","147","295","321","302"
"29",663556,"McClanahan, Shane","2021-06-09","77","37.7","0.250","0.750","0.000","1.000","0.565","0.667","0.419","1","4","96.6","24.0","2263","92.7","93.05","2","6","23","0.4","6.74","93","152","118","146","307","317","292"
"29",592836,"Walker, Taijuan","2021-09-05","82","35.4","0.400","1.200","0.000","1.600","0.784","0.757","0.463","2","5","92.3","1.5","1845","91.3","91.06","1","12","17","-0.2","6.03","107","155","107","149","312","331","301"
