"pitches","player_id","player_name","game_date","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance"
"17",621111,"Buehler, Walker","2021-06-02","103","16.5","0.400","0.000","0.500","0.400","0.352","0.308","0.326","2","5","80.1","19.3","2716","90.9","91.34","2","10","7","0.4","6.44","118","155","132","154","307","312","289"
"17",543135,"Eovaldi, Nathan","2021-06-04","87","19.5","0.571","0.429","0.500","1.000","0.663","0.531","0.494","4","7","91.7","12.9","2064","90.5","91.15","2","10","7","0.6","6.76","102","156","123","151","308","332","279"
"17",543135,"Eovaldi, Nathan","2021-08-23","94","18.1","0.000","0.000","0.000","0.000","0.000","0.026","0.028","0","3","98.7","-33.0","1995","92.0","92.98","2","7","10","1.0","6.81","119","171","130","152","273","309","306"
"17",543135,"Eovaldi, Nathan","2021-07-31","105","16.2","0.500","1.000","1.000","1.500","0.753","0.384","0.243","1","2","105.2","2.0","1925","88.0","88.98","0","6","11","1.0","6.99","103","147","121","150","297","338","318"
"17",554430,"Wheeler, Zack","2021-07-18","101","16.8","0.000","0.000","0.000","0.000","0.000","0.083","0.080","0","3","79.6","-7.5","2213","94.6","96.62","1","10","7","2.0","7.24","118","152","116","151","295","322","288"
"17",543135,"Eovaldi, Nathan","2021-05-11","102","16.7","0.250","0.250","0.333","0.500","0.310","0.339","0.237","1","4","87.0","0.7","2020","90.3","90.58","1","8","9","0.3","6.52","116","159","118","143","287","319","298"
"17",543135,"Eovaldi, Nathan","2021-06-09","107","15.9","0.000","0.000","0.000","0.000","0.231","0.263","0.055","0","2","83.6","-12.0","2174","89.1","89.62","4","11","6","0.5","6.55","116","154","119","148","287","328","287"
"16",663556,"McClanahan, Shane","2021-07-27","89","18.0","0.500","0.167","0.600","0.667","0.500","0.413","0.431","3","6","88.1","19.0","2414","87.6","88.29","1","10","6","0.7","6.88","101","148","108","148","297","323","287"
"16",608331,"Fried, Max","2021-09-29","98","16.3","0.250","0.250","0.333","0.500","0.310","0.301","0.265","1","4","89.5","23.7","2289","85.0","85.19","5","9","7","0.2","6.44","114","153","113","152","307","328","296"
"16",621111,"Buehler, Walker","2021-04-09","90","17.8","0.400","0.000","0.400","0.400","0.352","0.475","0.437","2","5","88.6","-7.2","2733","90.8","91.01","2","7","9","0.2","6.34","110","162","123","149","305","320","297"
"16",554430,"Wheeler, Zack","2021-09-06","99","16.2","0.250","0.000","0.500","0.250","0.220","0.148","0.164","1","4","72.2","11.0","2289","95.5","97.08","5","10","6","1.6","7.09","104","147","115","152","291","320","309"
"16",554430,"Wheeler, Zack","2021-06-16","98","16.3","0.250","0.000","0.333","0.250","0.220","0.172","0.183","1","4","74.1","9.0","2324","91.8","93.34","3","8","8","1.5","6.96","102","150","112","146","297","321","298"
"16",554430,"Wheeler, Zack","2021-05-18","92","17.4","0.000","0.000","0.000","0.000","0.000","0.218","0.113","0","3","100.4","35.0","2373","92.4","93.78","4","8","8","1.4","7.21","112","153","116","151","295","319","280"
"16",621111,"Buehler, Walker","2021-09-28","90","17.8","0.333","0.000","0.333","0.333","0.393","0.294","0.173","1","3","87.6","2.7","2414","92.4","92.90","1","8","8","0.5","6.41","105","148","109","150","300","316","291"
"16",543135,"Eovaldi, Nathan","2021-08-11","97","16.5","0.250","0.750","0.000","1.000","0.502","0.438","0.297","1","4","98.6","-1.0","1922","88.9","89.88","2","6","10","1.0","6.74","124","173","145","154","276","319","308"
