"pitches","player_id","player_name","game_date","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance"
"15",425794,"Wainwright, Adam","2021-08-22","106","14.2","0.000","0.000","0.000","0.000","0.000","0.058","0.058","0","3","79.9","1.0","2480","81.8","82.17","2","6","9","0.4","6.37","125","163","111","150","290","310","294"
"13",425794,"Wainwright, Adam","2021-08-11","88","14.8","0.000","0.000","0.000","0.000","0.000","0.219","0.216","0","3","85.5","33.0","2490","80.6","80.54","1","5","8","-0.1","6.33","131","167","116","153","299","316","300"
"11",425794,"Wainwright, Adam","2021-07-01","110","10.0","0.000","0.000","0.000","0.000","0.000","0.031","0.022","0","3","87.1","46.0","2508","81.7","82.26","3","5","6","0.6","6.38","106","154","118","148","313","340","304"
"9",425794,"Wainwright, Adam","2021-05-23","101","8.9","0.000","0.000","0.000","0.000","0.000","0.055","0.038","0","3","77.2","-29.0","2481","84.3","84.51","0","4","5","0.2","6.59","120","156","116","150","301","326","297"
"8",425794,"Wainwright, Adam","2021-05-09","113","7.1","0.000","0.000","0.000","0.000","0.000","0.132","0.143","0","3","68.6","-25.0","2521","82.3","82.14","2","5","3","-0.2","6.44","121","159","108","151","295","316","292"
"7",425794,"Wainwright, Adam","2021-04-26","107","6.5","0.000","0.000","0.000","0.000","0.000","0.336","0.321","0","3","93.9","6.3","2453","81.5","81.94","0","4","3","0.4","6.63","127","155","115","153","289","312","301"
"7",425794,"Wainwright, Adam","2021-09-08","104","6.7","0.000","0.000","0.000","0.000","0.000","0.070","0.074","0","3","90.1","37.7","2661","83.5","83.54","0","3","4","0.0","6.57","131","165","125","148","300","330","297"
