"pitches","player_id","player_name","game_date","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance"
"26",425794,"Wainwright, Adam","2021-08-28","93","28.0","0.250","0.250","0.333","0.500","0.387","0.365","0.179","1","4","87.2","52.3","2291","82.5","82.80","1","10","16","0.3","6.40","129","160","125","147","292","304","288"
"21",425794,"Wainwright, Adam","2021-04-26","107","19.6","0.400","0.600","0.250","1.000","0.577","0.722","0.491","2","5","91.0","32.8","2491","84.2","84.96","4","14","7","0.8","6.61","106","157","119","149","302","327","313"
"20",425794,"Wainwright, Adam","2021-09-03","105","19.0","0.667","0.000","0.667","0.667","0.612","0.474","0.446","2","3","81.9","7.0","2360","82.9","83.09","3","13","7","0.2","6.41","116","151","133","147","295","317","293"
"18",425794,"Wainwright, Adam","2021-04-20","100","18.0","0.000","0.000",,"0.000","0.000","0.000",,"0","3",,,"2431","81.8","82.29","2","7","11","0.5","6.67","112","156","113","149","302","324","305"
"17",425794,"Wainwright, Adam","2021-06-20","111","15.3","0.000","0.000","0.000","0.000","0.173","0.434","0.355","0","3","95.1","10.7","2576","81.5","81.74","2","6","11","0.2","6.56","116","152","128","149","304","306","286"
"15",425794,"Wainwright, Adam","2021-06-03","105","14.3","0.000","0.000","0.000","0.000","0.180","0.269","0.128","0","3","81.2","-10.3","2274","84.8","85.33","0","3","12","0.5","6.59","112","165","127","148","300","320","321"
"15",425794,"Wainwright, Adam","2021-08-01","85","17.6","0.000","0.000","0.000","0.000","0.173","0.254","0.118","0","3","90.5","34.3","2543","81.9","82.02","1","8","7","0.1","6.50","114","167","128","149","303","325","301"
"14",425794,"Wainwright, Adam","2021-07-01","110","12.7","0.333","0.000","0.333","0.333","0.293","0.518","0.498","1","3","89.2","1.7","2431","81.8","82.54","0","5","9","0.7","6.46","106","150","116","149","311","338","304"
"13",425794,"Wainwright, Adam","2021-07-21","84","15.5","0.250","0.250","0.500","0.500","0.310","0.149","0.146","1","4","83.5","11.5","2643","79.8","79.85","5","8","5","0.0","6.55","121","154","117","149","296","312","293"
"11",425794,"Wainwright, Adam","2021-07-27","87","12.6","0.000","0.000","0.000","0.000","0.000","0.060","0.055","0","3","84.6","37.5","2516","81.6","81.77","2","5","6","0.2","6.35","120","153","116","152","296","315","288"
"9",425794,"Wainwright, Adam","2021-06-09","95","9.5","0.000","0.000","0.000","0.000","0.000","0.084","0.093","0","3","86.9","-16.5","2566","81.5","82.06","1","4","5","0.6","6.67","115","162","125","149","296","308","297"
"9",425794,"Wainwright, Adam","2021-05-09","113","8.0","0.000","0.000","0.000","0.000","0.000","0.226","0.190","0","3","75.0","10.0","2572","80.8","80.73","0","4","5","-0.1","6.46","114","156","127","149","303","319","286"
"8",425794,"Wainwright, Adam","2021-05-23","101","7.9","0.000","0.000","0.000","0.000","0.000","0.048","0.051","0","3","83.5","-26.0","2366","84.5","84.86","0","3","5","0.4","6.58","121","165","111","149","307","339","313"
"8",425794,"Wainwright, Adam","2021-08-06","96","8.3","0.000","0.000","0.000","0.000","0.000","0.149","0.160","0","3","86.0","36.5","2561","82.2","82.33","1","6","2","0.1","6.34","121","153","105","152","292","312","298"
"8",425794,"Wainwright, Adam","2021-09-08","104","7.7","0.000","0.000","0.000","0.000","0.000","0.051","0.056","0","3","75.2","19.0","2365","81.0","81.16","0","3","5","0.2","6.49","119","157","124","149","295","328","297"
"8",425794,"Wainwright, Adam","2021-08-22","106","7.5","0.000","0.000","0.000","0.000","0.000","0.224","0.227","0","3","90.7","3.0","2393","76.3","76.23","0","4","4","-0.1","6.38","133","186","96","152","296","325","303"
"7",425794,"Wainwright, Adam","2021-08-11","88","8.0","0.000","0.000","0.000","0.000","0.000","0.346","0.352","0","3","84.3","-15.0","2402","76.3","75.99","0","5","2","-0.3","6.23","128","172","116","153","299","322","295"
"3",425794,"Wainwright, Adam","2021-06-26","102","2.9","1.000","0.000","1.000","1.000","0.879","0.855","0.871","1","1","103.2","13.0","2410","81.8","82.10","0","1","2","0.3","6.47","112","156","113","149","295","303","297"
