"pitches","player_id","player_name","game_date","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance"
"36",425794,"Wainwright, Adam","2021-05-15","92","39.1","0.500","0.500","0.500","1.000","0.644","0.407","0.279","3","6","89.0","25.2","2432","82.6","82.68","2","12","24","0.1","6.47","103","150","116","147","297","314","289"
"31",425794,"Wainwright, Adam","2021-04-03","56","55.4","0.778","0.333","0.750","1.111","0.797","0.443","0.357","7","9","80.8","-2.4","2216","84.8","85.16","2","15","16","0.4","6.51","108","152","110","146","290","325","298"
"31",425794,"Wainwright, Adam","2021-06-14","105","29.5","0.400","0.000","0.500","0.400","0.449","0.406","0.305","2","5","86.3","-11.0","2545","83.4","83.61","3","8","23","0.2","6.58","118","149","115","150","302","316","296"
"25",425794,"Wainwright, Adam","2021-04-08","94","26.6","0.400","0.200","0.500","0.600","0.469","0.392","0.326","2","5","93.1","22.3","2559","80.6","80.88","5","11","14","0.3","6.54","113","149","119","148","302","330","308"
"24",425794,"Wainwright, Adam","2021-07-06","97","24.7","0.400","0.000","0.500","0.400","0.408","0.525","0.480","2","5","93.2","14.0","2395","80.4","80.86","2","10","14","0.5","6.47","118","150","116","150","291","322","316"
"23",425794,"Wainwright, Adam","2021-04-14","85","27.1","0.500","0.500","0.500","1.000","0.627","0.332","0.238","3","6","88.9","2.2","2448","82.9","82.99","3","11","12","0.1","6.56","108","160","126","147","310","332","312"
"21",425794,"Wainwright, Adam","2021-05-03","93","22.6","0.400","0.800","0.250","1.200","0.657","0.461","0.282","2","5","95.4","16.6","2406","83.5","83.82","0","12","9","0.3","6.56","115","158","116","146","296","320","306"
"19",425794,"Wainwright, Adam","2021-06-20","111","17.1","0.000","0.000","0.000","0.000","0.173","0.196","0.034","0","3","92.5","-22.0","2358","83.7","84.15","2","8","11","0.4","6.49","104","143","107","146","303","310","284"
"19",425794,"Wainwright, Adam","2021-09-13","103","18.4","0.250","0.000","0.333","0.250","0.220","0.205","0.218","1","4","88.2","19.0","2506","80.8","80.62","1","7","12","-0.2","6.42","106","151","110","146","304","332","313"
"17",425794,"Wainwright, Adam","2021-05-29","93","18.3","0.000","0.000","0.000","0.000","0.173","0.200","0.040","0","3","92.2","-15.0","2605","83.1","82.89","4","5","12","-0.2","6.48","127","163","120","150","297","301","280"
"16",425794,"Wainwright, Adam","2021-09-08","104","15.4","0.000","0.000","0.000","0.000","0.000","0.154","0.166","0","3","90.2","-6.5","2412","82.5","82.65","4","9","7","0.2","6.55","128","172","121","149","296","317","288"
"16",425794,"Wainwright, Adam","2021-09-18","93","17.2","0.250","0.000","0.250","0.250","0.220","0.461","0.362","1","4","78.8","31.7","2602","80.3","80.23","0","6","10","-0.1","6.41","122","164","112","146","300","323","303"
"15",425794,"Wainwright, Adam","2021-05-09","113","13.3","0.000","0.000","0.000","0.000","0.000","0.025","0.022","0","3","52.9","-45.0","2389","84.5","84.51","1","5","10","0.0","6.51","110","144","109","140","286","311","289"
"14",425794,"Wainwright, Adam","2021-07-21","84","16.7","0.500","0.500","0.667","1.000","0.634","0.431","0.384","2","4","86.9","30.3","2506","82.1","82.54","2","9","5","0.4","6.56","94","133","97","133","296","314","290"
"14",425794,"Wainwright, Adam","2021-09-03","105","13.3","0.000","0.000","0.000","0.000","0.231","0.387","0.260","0","2","74.8","5.0","2344","82.2","82.39","1","5","9","0.2","6.33","120","163","119","148","302","318","290"
"14",425794,"Wainwright, Adam","2021-09-23","78","17.9","0.000","0.000","0.000","0.000","0.000","0.133","0.145","0","3","86.3","4.0","2152","84.6","84.84","1","5","9","0.2","6.42","128","159","114","150","301","322","303"
"13",425794,"Wainwright, Adam","2021-04-20","100","13.0","0.500","0.000","0.667","0.500","0.496","0.361","0.278","2","4","89.3","0.0","2524","82.5","82.78","1","4","9","0.3","6.65","101","164","110","149","297","320","307"
"13",425794,"Wainwright, Adam","2021-09-28","102","12.7","0.000","0.000","0.000","0.000","0.173","0.240","0.098","0","3","85.3","18.7","2371","81.6","81.92","0","5","8","0.3","6.49","128","183","120","154","297","327","308"
"13",425794,"Wainwright, Adam","2021-05-23","101","12.9","0.000","0.000","0.000","0.000","0.000","0.391","0.338","0","3","98.3","-6.3","2457","86.6","86.89","0","3","10","0.3","6.57","129","169","113","151","294","316","291"
"13",425794,"Wainwright, Adam","2021-07-01","110","11.8","0.000","0.000","0.000","0.000","0.000","0.370","0.282","0","3","87.9","16.3","2276","85.6","86.62","0","6","7","1.0","6.42","120","159","115","149","313","341","305"
"12",425794,"Wainwright, Adam","2021-08-11","88","13.6","0.000","0.000","0.000","0.000","0.000","0.064","0.068","0","3","76.6","46.0","2422","83.0","82.97","1","5","7","0.0","6.39","126","169","112","152","301","308","288"
"12",425794,"Wainwright, Adam","2021-08-17","97","12.4","0.400","0.400","0.400","0.800","0.497","0.311","0.332","2","5","93.2","6.2","2508","79.8","79.86","0","6","6","0.1","6.33","128","159","109","145","294","321","302"
