"pitches","player_id","player_name","game_date","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance"
"25",425794,"Wainwright, Adam","2021-08-17","97","25.8","0.400","0.200","0.500","0.600","0.469","0.503","0.434","2","5","89.8","16.8","2370","85.0","85.26","0","8","17","0.3","6.45","119","144","113","141","294","312","293"
"25",425794,"Wainwright, Adam","2021-09-18","93","26.9","0.571","0.000","0.667","0.571","0.502","0.282","0.293","4","7","90.9","12.3","2503","81.9","82.15","2","15","10","0.3","6.52","89","148","109","142","296","316","297"
"24",425794,"Wainwright, Adam","2021-09-28","102","23.5","0.571","0.429","0.500","1.000","0.663","0.293","0.231","4","7","87.5","-6.1","2378","83.6","84.03","0","8","16","0.4","6.52","100","151","118","148","301","331","302"
"22",425794,"Wainwright, Adam","2021-07-06","97","22.7","0.250","0.000","0.333","0.250","0.314","0.221","0.110","1","4","79.8","32.3","2398","79.5","69.58","1","8","14","-9.9","6.45","122","159","115","152","294","318","299"
"21",425794,"Wainwright, Adam","2021-06-20","111","18.9","0.400","0.000","0.667","0.400","0.352","0.310","0.306","2","5","93.0","12.0","2377","82.2","82.62","3","10","11","0.4","6.51","109","147","121","149","299","313","302"
"18",425794,"Wainwright, Adam","2021-09-13","103","17.5","0.000","0.000","0.000","0.000","0.000","0.297","0.326","0","3","87.3","23.3","2276","83.1","83.04","0","7","11","-0.1","6.38","118","155","121","150","300","328","304"
"18",425794,"Wainwright, Adam","2021-05-23","101","17.8","0.000","0.000","0.000","0.000","0.173","0.208","0.051","0","3","72.8","0.0","2506","84.1","84.23","2","5","13","0.1","6.53","102","152","120","147","304","333","300"
"17",425794,"Wainwright, Adam","2021-05-03","93","18.3","0.250","0.000","0.333","0.250","0.220","0.077","0.082","1","4","82.2","14.3","2291","83.9","84.48","0","7","10","0.6","6.54","109","163","112","151","292","315","296"
"17",425794,"Wainwright, Adam","2021-09-23","78","21.8","0.500","0.750","0.500","1.250","0.721","0.466","0.302","2","4","88.0","11.3","2345","83.9","84.04","1","10","7","0.1","6.42","113","157","120","147","304","315","289"
"17",425794,"Wainwright, Adam","2021-08-28","93","18.3","0.000","0.000","0.000","0.000","0.000","0.075","0.071","0","3","83.7","11.0","2521","79.5","79.35","3","8","9","-0.2","6.34","129","163","120","151","296","318","291"
"17",425794,"Wainwright, Adam","2021-06-26","102","16.7","0.250","0.750","0.000","1.000","0.502","0.532","0.344","1","4","107.9","9.0","2480","81.8","82.09","2","6","11","0.3","6.47","126","165","117","151","296","311","306"
"16",425794,"Wainwright, Adam","2021-08-06","96","16.7","0.250","0.000","0.250","0.250","0.377","0.360","0.205","1","4","86.6","-18.5","2512","80.7","80.60","1","6","10","-0.1","6.39","97","148","119","149","298","320","304"
"15",425794,"Wainwright, Adam","2021-07-27","87","17.2","0.400","0.600","0.500","1.000","0.577","0.542","0.379","2","5","98.4","8.3","2354","81.2","81.41","2","7","8","0.2","6.39","108","156","122","150","301","323","292"
