"pitches","player_id","player_name","game_date","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance"
"36",543135,"Eovaldi, Nathan","2021-06-20","87","41.4","0.571","0.286","0.800","0.857","0.617","0.400","0.361","4","7","88.5","6.0","2102","90.7","91.36","6","20","16","0.7","6.69","106","142","110","144","303","341","309"
"36",663556,"McClanahan, Shane","2021-06-26","87","41.4","0.500","0.375","0.667","0.875","0.588","0.294","0.258","4","8","73.8","21.5","2288","94.0","94.74","4","20","16","0.7","6.96","100","139","111","136","287","308","286"
"34",608331,"Fried, Max","2021-04-01","94","36.2","0.600","0.200","1.000","0.800","0.615","0.288","0.223","3","5","76.0","4.3","2439","87.5","87.54","5","17","17","0.0","6.31","108","154","119","152","294","322","284"
"31",543135,"Eovaldi, Nathan","2021-06-09","107","29.0","0.571","0.714","0.750","1.286","0.758","0.471","0.432","4","7","84.8","6.6","2160","91.4","92.05","1","15","16","0.7","6.63","101","151","119","148","281","325","292"
"31",663556,"McClanahan, Shane","2021-07-09","91","34.1","0.400","0.200","0.667","0.600","0.469","0.548","0.456","2","5","99.4","15.0","2324","91.1","91.95","4","15","16","0.8","6.91","105","158","119","151","310","333","295"
"31",543135,"Eovaldi, Nathan","2021-09-19","78","39.7","0.500","0.167","0.600","0.667","0.527","0.347","0.309","3","6","87.3","-7.6","1968","89.0","89.55","6","14","17","0.6","6.69","105","148","111","148","292","327","293"
"30",663556,"McClanahan, Shane","2021-08-07","92","32.6","0.571","0.571","1.000","1.143","0.712","0.570","0.432","4","7","100.4","18.8","2450","91.2","91.95","5","15","15","0.7","6.75","98","152","113","148","304","316","287"
"30",554430,"Wheeler, Zack","2021-07-18","101","29.7","0.714","0.571","0.571","1.286","0.731","0.475","0.406","5","7","86.5","6.8","2246","93.7","95.44","1","14","16","1.7","7.16","111","152","112","149","293","319","283"
"29",592836,"Walker, Taijuan","2021-08-03","93","31.2","0.500","0.500","0.500","1.000","0.644","0.493","0.298","3","6","91.8","18.2","2023","90.6","90.14","6","13","16","-0.5","6.05","109","156","116","150","304","327","295"
"29",543135,"Eovaldi, Nathan","2021-07-31","105","27.6","0.167","0.000","0.167","0.167","0.147","0.298","0.260","1","6","89.6","19.5","1922","89.2","90.23","6","18","11","1.0","7.11","104","155","123","153","302","344","306"
