"pitches","player_id","player_name","game_date","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance"
"28",425794,"Wainwright, Adam","2021-09-23","78","35.9","0.400","0.600","0.250","1.000","0.610","0.491","0.277","2","5","91.1","29.2","2355","82.4","82.49","1","13","15","0.1","6.42","102","153","115","147","301","320","304"
"27",425794,"Wainwright, Adam","2021-06-03","105","25.7","0.400","0.000","0.500","0.400","0.457","0.397","0.272","2","5","83.9","15.3","2552","82.7","82.86","1","10","17","0.2","6.56","118","160","119","145","294","312","303"
"25",425794,"Wainwright, Adam","2021-04-08","94","26.6","0.250","0.000","0.250","0.250","0.382","0.587","0.413","1","4","90.1","28.8","2372","84.9","81.85","4","11","14","-3.1","6.66","100","152","116","148","304","328","312"
"23",425794,"Wainwright, Adam","2021-08-17","97","23.7","0.500","0.000","0.667","0.500","0.529","0.518","0.458","2","4","94.0","5.0","2528","83.9","84.17","2","7","16","0.3","6.44","116","155","117","145","291","324","305"
"22",425794,"Wainwright, Adam","2021-09-13","103","21.4","0.250","0.000","0.333","0.250","0.377","0.263","0.049","1","4","83.0","6.3","2414","82.9","82.27","4","8","14","-0.6","6.43","115","151","117","147","294","327","308"
"21",425794,"Wainwright, Adam","2021-06-09","95","22.1","0.600","0.400","0.600","1.000","0.560","0.321","0.301","3","5","87.1","18.0","2404","82.5","82.82","2","13","8","0.3","6.52","122","155","115","148","292","314","304"
"20",425794,"Wainwright, Adam","2021-05-15","92","21.7","0.250","0.750","0.000","1.000","0.540","0.588","0.371","1","4","96.7","17.5","2342","83.9","83.80","1","7","13","-0.1","6.47","118","153","114","153","302","329","303"
"19",425794,"Wainwright, Adam","2021-09-08","104","18.3","0.600","0.200","0.750","0.800","0.600","0.652","0.593","3","5","96.1","14.0","2479","80.6","80.86","3","11","8","0.3","6.51","119","157","120","148","298","324","294"
"19",425794,"Wainwright, Adam","2021-05-23","101","18.8","0.250","0.000","0.333","0.250","0.220","0.195","0.210","1","4","71.9","26.3","2507","83.2","83.56","1","6","13","0.4","6.62","100","166","121","147","309","331","306"
"18",425794,"Wainwright, Adam","2021-07-01","110","16.4","0.250","0.000","0.333","0.250","0.220","0.317","0.297","1","4","89.7","9.3","2492","82.2","82.50","2","8","10","0.3","6.33","112","147","115","148","308","323","297"
"18",425794,"Wainwright, Adam","2021-04-20","100","18.0","0.250","0.000","0.333","0.250","0.220","0.222","0.240","1","4","88.5","0.3","2253","84.5","85.21","1","8","10","0.7","6.58","105","162","120","148","297","323","307"
"17",425794,"Wainwright, Adam","2021-07-16","88","19.3","0.000","0.000",,"0.000","0.000","0.000",,"0","3",,,"2337","85.5","86.02","3","8","9","0.5","6.47","129","160","115","152","298","328","298"
"17",425794,"Wainwright, Adam","2021-06-26","102","16.7","0.250","0.000","0.250","0.250","0.220","0.296","0.306","1","4","84.3","19.0","2533","81.8","82.23","0","7","10","0.4","6.48","109","151","109","150","296","313","308"
"16",425794,"Wainwright, Adam","2021-09-18","93","17.2","0.250","0.000","0.250","0.250","0.220","0.347","0.375","1","4","82.9","0.0","2428","83.8","83.98","1","5","11","0.2","6.47","115","160","113","147","304","334","313"
"15",425794,"Wainwright, Adam","2021-08-22","106","14.2","0.000","0.000","0.000","0.000","0.000","0.015","0.009","0","3","92.5","39.0","2411","80.9","80.89","2","6","9","0.0","6.34","123","171","118","150","297","328","300"
