"pitches","player_id","player_name","game_date","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance"
"14",425794,"Wainwright, Adam","2021-05-09","113","12.4","0.500","0.000","1.000","0.500","0.524","0.417","0.247","1","2","99.8","17.0","2358","82.5","82.31","2","6","8","-0.2","6.51","107","154","117","149","315","326","303"
"13",425794,"Wainwright, Adam","2021-04-26","107","12.1","0.250","0.750","0.000","1.000","0.502","0.293","0.171","1","4","96.0","19.3","2718","77.2","77.25","3","7","6","0.0","6.55","126","171","124","152","304","328","313"
"11",425794,"Wainwright, Adam","2021-09-08","104","10.6","0.750","0.000","0.750","0.750","0.659","0.542","0.559","3","4","86.1","17.8","2511","80.4","80.43","0","5","6","0.0","6.49","93","145","110","145","301","331","305"
"6",425794,"Wainwright, Adam","2021-08-11","88","6.8","0.000","0.000","0.000","0.000","0.000","0.614","0.468","0","3","91.9","14.3","2473","82.0","82.02","1","4","2","0.0","6.42","120","160","113","151","301","310","283"
