"pitches","player_id","player_name","game_date","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance"
"28",663556,"McClanahan, Shane","2021-09-02","88","31.8","0.500","0.000","0.750","0.500","0.476","0.441","0.407","3","6","84.5","22.5","2359","89.4","90.29","6","17","11","0.9","6.96","103","147","124","146","300","318","293"
"28",543135,"Eovaldi, Nathan","2021-08-06","86","32.6","0.750","0.875","0.833","1.625","0.982","0.536","0.459","6","8","93.2","24.0","1996","89.1","89.34","4","19","9","0.2","6.67","96","151","116","150","308","333","288"
"27",592836,"Walker, Taijuan","2021-04-11","100","27.0","0.400","0.200","0.500","0.600","0.474","0.252","0.144","2","5","97.0","37.5","2070","92.6","92.19","2","11","16","-0.4","5.99","97","152","109","146","294","330","297"
"26",554430,"Wheeler, Zack","2021-04-20","105","24.8","0.400","1.200","0.000","1.600","0.771","0.628","0.371","2","5","99.0","22.0","2318","91.4","92.60","0","9","17","1.2","7.08","112","151","119","152","300","333","291"
"26",592836,"Walker, Taijuan","2021-07-09","86","30.2","0.400","0.200","0.400","0.600","0.469","0.565","0.552","2","5","93.1","17.6","2002","91.4","91.11","1","12","14","-0.3","6.03","112","149","104","147","294","326","288"
"25",543135,"Eovaldi, Nathan","2021-07-17","94","26.6","0.400","0.200","0.400","0.600","0.424","0.389","0.388","2","5","94.8","20.2","2022","89.5","90.74","2","12","13","1.2","6.93","111","152","120","153","309","338","279"
"25",592836,"Walker, Taijuan","2021-07-29","87","28.7","0.571","0.000","0.800","0.571","0.502","0.321","0.337","4","7","83.7","12.0","1853","91.0","90.75","1","17","8","-0.2","5.99","100","138","113","143","292","327","302"
"25",621111,"Buehler, Walker","2021-06-24","103","24.3","0.400","0.000","0.667","0.400","0.352","0.175","0.182","2","5","75.8","18.7","2317","90.3","90.43","3","13","12","0.1","6.18","104","161","122","154","288","311","296"
"24",554430,"Wheeler, Zack","2021-05-12","98","24.5","0.400","0.000","0.667","0.400","0.352","0.280","0.283","2","5","82.3","-15.7","2327","94.3","95.68","2","10","14","1.4","7.21","107","155","110","148","294","307","288"
"24",554430,"Wheeler, Zack","2021-04-09","94","25.5","0.667","0.667","0.750","1.333","0.834","0.597","0.452","4","6","102.6","4.8","2398","91.3","92.81","2","11","13","1.5","7.13","115","148","116","146","303","324","295"
"24",608331,"Fried, Max","2021-07-10","92","26.1","0.571","0.429","1.000","1.000","0.663","0.368","0.316","4","7","95.6","12.5","2490","85.0","84.80","4","11","13","-0.2","6.35","108","150","114","147","320","321","291"
"24",608331,"Fried, Max","2021-07-23","100","24.0","0.333","0.000","0.333","0.333","0.393","0.546","0.505","1","3","75.7","2.0","2386","89.2","89.47","0","11","13","0.3","6.34","102","144","122","135","294","315","278"
